PersonId;Fornavn;Etternavn;FodselsDato;DodsDato;Kjonn;AnsiennitetAar;AnsiennitetDager
MASG;Masud;Gharahkhani;1982-09-22;;mann;7;272
MHL;Mari Holm;Lønseth;1991-08-29;;kvinne;7;266
MHU;Mani;Hussaini;1987-10-25;;mann;4;3
MKS;Marit Knutsdatter;Strand;1992-04-27;;kvinne;7;266
MLF;Mona;Fagerås;1972-01-09;;kvinne;7;266
MMIKRI;Mímir;Kristjánsson;1986-08-17;;mann;3;266
MONNIL;Mona;Nilsen;1973-09-17;;kvinne;3;266
MOW;Morten;Wold;1967-06-22;;mann;11;266
MTY;Mathilde;Tybring-Gjedde;1992-12-15;;kvinne;7;266
MUK;Mudassar;Kapur;1976-12-14;;mann;11;266
MAA;Marit;Arnstad;1962-05-04;;kvinne;19;270
MAAH;Marian;Hussein;1986-07-24;;kvinne;3;281
NA;Nikolai;Astrup;1978-06-12;;mann;15;266
NF;Nils-Ole;Foshaug;1970-11-22;;mann;3;266
NITB;Nils T.;Bjørke;1959-03-09;;mann;7;266
NKS;Nils Kristen;Sandtrøen;1989-02-02;;mann;7;266
NSSMAR;Marianne Sivertsen;Næss;1974-03-28;;kvinne;3;266
OAM;Ole André;Myhrvold;1978-06-10;;mann;7;266
OBM;Ola Borten;Moe;1976-06-06;;mann;11;266
OBT;Ove;Trellevik;1965-08-15;;mann;11;266
ODDHOV;Odd Harald;Hovland;1962-09-29;;mann;3;266
OLE;Ola;Elvestuen;1967-10-09;;mann;11;325
OLVGRO;Olve;Grotle;1964-02-17;;mann;3;266
OVB;Olaug Vervik;Bollestad;1961-11-04;;kvinne;11;266
PCF;Peter;Frølich;1987-09-17;;mann;11;266
PERKJL;Per Vidar;Kjølmoen;1973-05-03;;mann;3;266
PERTYL;Per Olav;Tyldum;1964-04-24;;mann;3;266
POL;Per Olaf;Lundteigen;1953-04-18;;mann;23;266
PTA;Per-Willy;Amundsen;1971-01-21;;mann;15;274
RAJH;Rasmus;Hansson;1954-09-04;;mann;7;266
RIAJ;Rigmor;Aasrud;1960-06-26;;kvinne;15;266
ROYS;Roy;Steffensen;1980-09-10;;mann;11;266
RSJ;Runar;Sjåstad;1968-08-28;;mann;7;279
RUNSTS;Rune;Støstad;1972-01-08;;mann;3;266
SAB;Sandra;Bruflot;1991-12-31;;kvinne;3;266
SEA;Seher;Aydar;1989-09-10;;kvinne;3;295
SEKBAK;Åse Kristin Ask;Bakke;1996-05-30;;kvinne;3;266
SEL;Stein Erik;Lauvås;1965-05-03;;mann;11;325
SHAR;Svein;Harberg;1958-07-30;;mann;15;266
SHB;Sivert;Bjørnstad;1990-10-03;;mann;11;266
SIGJE;Sigbjørn;Gjelsvik;1974-03-30;;mann;7;266
SIHJE;Silje;Hjemdal;1984-08-08;;kvinne;7;266
SIMOS;Siv;Mossleth;1967-04-04;;kvinne;7;266
SMY;Sverre;Myrli;1971-08-26;;mann;23;321
SNB;Sandra;Borch;1988-04-23;;kvinne;7;266
SOFMAR;Sofie;Marhaug;1990-05-24;;kvinne;3;266
SVES;Sveinung;Stensland;1972-11-06;;mann;11;251
SVR;Sveinung;Rotevatn;1987-05-15;;mann;7;266
SYL;Sylvi;Listhaug;1977-12-25;;kvinne;7;361
TAGP;Tage;Pettersen;1972-07-25;;mann;7;300
TAJ;Tor André;Johnsen;1968-11-25;;mann;11;266
TELA;Terje;Aasland;1965-02-15;;mann;19;266
TERH;Terje;Halleland;1966-04-14;;mann;8;25
TERS;Terje;Sørvik;1967-06-04;;mann;3;271
TIB;Tina;Bru;1986-04-18;;kvinne;11;304
TIM;Tellef Inge;Mørland;1980-04-21;;mann;7;266
TKF;Torgeir Knag;Fylkesnes;1975-06-04;;mann;11;266
TMV;Trygve Slagsvold;Vedum;1978-12-01;;mann;19;266
TOBLUN;Tobias Drevland;Lund;1996-05-11;;mann;3;266
TOVMAD;Tove Elise;Madland;1965-03-10;;kvinne;3;266
TRISUN;Trine Lise;Sundnes;1970-02-06;;kvinne;3;266
TROH;Trond;Helleland;1962-07-10;;mann;27;271
TRV;Truls;Vasvik;1978-06-28;;mann;3;266
TTS;Torstein Tvedt;Solberg;1985-03-02;;mann;11;269
TUK;Turid;Kristensen;1966-10-08;;kvinne;7;266
TUMO;Tuva;Moflag;1979-03-17;;kvinne;7;266
TVER;Torbjørn;Vereide;1989-02-19;;mann;3;266
TWT;Tone Wilhelmsen;Trøen;1966-02-23;;kvinne;11;266
UAB;Une;Bastholm;1986-01-14;;kvinne;7;288
WN;Willfred;Nordlund;1988-04-18;;mann;7;283
YSTMAT;Øystein;Mathisen;1991-03-17;;mann;3;266
AASE;Maria;Aasen-Svensrud;1980-02-22;;kvinne;7;266
ÅSJ;Åslaug;Sem-Jacobsen;1971-04-05;;kvinne;7;266
AAUK;Åsmund;Aukrust;1985-02-28;;mann;11;266
